domain,combined_score,category,category_label,pc1_score,llm_score,iffy_tier,sources
cvikas.com,0.3592,2,Low,0.3592,,,pc1
cvikasdrv.com,0.3036,2,Low,0.3036,,,pc1
cvikasinfo.com,0.6468,4,Moderately High,0.6468,,,pc1
cvrcinfo.com,0.3037,2,Low,0.3037,,,pc1
cw33.com,0.6987,4,Moderately High,0.6981,0.7000,,pc1+llm
cw39.com,0.7698,4,Moderately High,0.8047,0.7000,,pc1+llm
cyberwar.news,0.2737,2,Low,0.3855,,1,pc1+iffy
cyborg.news,0.2467,2,Low,0.2467,,,pc1
cynthiafarahat.com,0.6322,4,Moderately High,0.6322,,,pc1
cz.de,0.6754,4,Moderately High,0.6754,,,pc1
cz.sputniknews.com,0.3699,2,Low,0.3699,,,pc1
d20news.com,0.3201,2,Low,0.3201,,,pc1
dachshunddaily.com,0.6565,4,Moderately High,0.6565,,,pc1
dagospia.com,0.4105,3,Mixed,0.5960,0.3000,2,pc1+llm+iffy
daily-chronicle.com,0.8712,5,High,0.8712,,,pc1
daily-inquirer.com,0.3483,2,Low,0.3483,,,pc1
daily-jeff.com,0.6461,4,Moderately High,0.6461,,,pc1
daily-journal.com,0.9176,5,High,0.9176,,,pc1
daily-sun.com,0.2267,2,Low,0.2267,,,pc1
daily-times.com,0.6310,4,Moderately High,0.6310,,,pc1
daily.jstor.org,0.7497,4,Moderately High,0.7497,,,pc1
daily49er.com,0.6621,4,Moderately High,0.6431,0.7000,,pc1+llm
dailyadvance.com,0.6924,4,Moderately High,0.6924,,,pc1
dailyadvocate.com,0.7100,4,Moderately High,0.7100,,,pc1
dailyamerican.com,0.5503,3,Mixed,0.5503,,,pc1
dailyboulder.com,0.3812,2,Low,0.3969,,4,pc1+iffy
dailybreeze.com,0.7531,4,Moderately High,0.7796,0.7000,,pc1+llm
dailybulletin.com,0.8954,5,High,0.8954,,,pc1
dailybusinessreview.com,0.8386,5,High,0.8386,,,pc1
dailybuzzlive.com,0.1533,1,Very Low,0.1816,0.2000,1,pc1+llm+iffy
dailycal.org,0.6826,4,Moderately High,0.6739,0.7000,,pc1+llm
dailycaller.com,0.4466,3,Mixed,0.4700,0.4000,,pc1+llm
dailycamera.com,0.8305,5,High,0.8957,0.7000,,pc1+llm
dailycitizen.focusonthefamily.com,0.1500,1,Very Low,,,2,iffy
dailycitizen.news,0.6566,4,Moderately High,0.6566,,,pc1
dailyclimate.org,0.7912,4,Moderately High,0.7912,,,pc1
dailycomet.com,0.7416,4,Moderately High,0.7624,0.7000,,pc1+llm
dailycommercial.com,0.6926,4,Moderately High,0.6926,,,pc1
dailycorinthian.com,0.6238,4,Moderately High,0.6238,,,pc1
dailycurrant.com,0.3255,2,Low,0.4382,0.1000,,pc1+llm
dailyddt.com,0.6708,4,Moderately High,0.6708,,,pc1
dailydemocrat.com,0.5162,3,Mixed,0.5162,,,pc1
dailydiscord.com,0.4416,3,Mixed,0.4416,,,pc1
dailydot.com,0.6467,4,Moderately High,0.6450,0.6500,,pc1+llm
dailyecho.co.uk,0.6700,4,Moderately High,0.6550,0.7000,,pc1+llm
dailyexpose.co.uk,0.1719,1,Very Low,0.2188,0.2000,1,pc1+llm+iffy
dailyexpose.uk,0.3232,2,Low,0.3232,,,pc1
dailyfeed.news,0.2438,2,Low,0.2438,,,pc1
dailyfinesser.com,0.2531,2,Low,0.2531,,,pc1
dailyfreeman.com,0.6489,4,Moderately High,0.6234,0.7000,,pc1+llm
dailygazette.com,0.8706,5,High,0.8706,,,pc1
dailygotham.com,0.6541,4,Moderately High,0.6541,,,pc1
dailygrail.com,0.2730,2,Low,0.2344,,4,pc1+iffy
dailygumbo.com,0.6717,4,Moderately High,0.6717,,,pc1
dailyheadlines.com,0.1923,1,Very Low,0.1923,,,pc1
dailyheadlines.net,0.2569,2,Low,0.3103,,2,pc1+iffy
dailyhealthpost.com,0.1718,1,Very Low,0.1187,0.3000,2,pc1+llm+iffy
dailyherald.com,0.8264,5,High,0.8896,0.7000,,pc1+llm
dailyherald.news,0.6733,4,Moderately High,0.6733,,,pc1
dailyheraldtribune.com,0.7356,4,Moderately High,0.7356,,,pc1
dailyhive.com,0.7676,4,Moderately High,0.8015,0.7000,,pc1+llm
dailyhonker.com,0.3500,2,Low,,,4,iffy
dailyindependent.com,0.6819,4,Moderately High,0.6819,,,pc1
dailyinfo.co,0.6541,4,Moderately High,0.6541,,,pc1
dailyinfobox.com,0.3286,2,Low,0.3286,,,pc1
dailyinsidernews.com,0.1831,1,Very Low,0.1997,,2,pc1+iffy
dailyinterlake.com,0.6472,4,Moderately High,0.6472,,,pc1
dailyitem.com,0.8004,5,High,0.8506,0.7000,,pc1+llm
dailyjournal.net,0.6881,4,Moderately High,0.6881,,,pc1
dailyjournalonline.com,0.7699,4,Moderately High,0.8548,0.6000,,pc1+llm
dailyknicks.com,0.5748,3,Mixed,0.5121,0.7000,,pc1+llm
dailykos.com,0.4758,3,Mixed,0.4137,0.6000,,pc1+llm
dailyleader.com,0.4817,3,Mixed,0.4817,,,pc1
dailyleaderextra.com,0.7231,4,Moderately High,0.7231,,,pc1
dailyleak.org,0.3709,2,Low,0.3709,,,pc1
dailylocal.com,0.6234,4,Moderately High,0.6234,,,pc1
dailymail.co.uk,0.3294,2,Low,0.3839,0.4000,2,pc1+llm+iffy
dailymaverick.co.za,0.8474,5,High,0.8712,0.8000,,pc1+llm
dailymemphian.com,0.7544,4,Moderately High,0.7816,0.7000,,pc1+llm
dailyncb.com,0.3792,2,Low,0.3792,,,pc1
dailynews.com,0.7943,4,Moderately High,0.8415,0.7000,,pc1+llm
dailynews10.com,0.2438,2,Low,0.2438,,,pc1
dailynews11.com,0.1312,1,Very Low,0.1312,,,pc1
dailynews24-7.com,0.6171,4,Moderately High,0.6171,,,pc1
dailynews3.com,0.2165,2,Low,0.2165,,,pc1
dailynews33.com,0.2438,2,Low,0.2438,,,pc1
dailynews5.com,0.2216,2,Low,0.2216,,,pc1
dailynewsbin.com,0.5479,3,Mixed,0.5479,,,pc1
dailynewscycle.com,0.4934,3,Mixed,0.4934,,,pc1
dailynewshouse.com,0.5521,3,Mixed,0.5521,,,pc1
dailynewspolitic.com,0.6374,4,Moderately High,0.6374,,,pc1
dailynewsposts.info,0.3411,2,Low,0.3411,,,pc1
dailynorthwestern.com,0.8841,5,High,0.9261,0.8000,,pc1+llm
dailyo.in,0.6805,4,Moderately High,0.7208,0.6000,,pc1+llm
dailyoccupation.com,0.1300,1,Very Low,0.1200,,2,pc1+iffy
dailypatriotreport.com,0.2401,2,Low,0.2401,,,pc1
dailypoliticalnews.info,0.2401,2,Low,0.2401,,,pc1
dailypoliticalnewswire.com,0.1889,1,Very Low,0.2083,,2,pc1+iffy
dailypoliticsusa.com,0.6087,4,Moderately High,0.6087,,,pc1
dailypost.co.uk,0.6848,4,Moderately High,0.7271,0.6000,,pc1+llm
dailypostathenian.com,0.6831,4,Moderately High,0.6831,,,pc1
dailyposter.com,0.5723,3,Mixed,0.5584,0.6000,,pc1+llm
dailypress.com,0.7959,4,Moderately High,0.8439,0.7000,,pc1+llm
dailypress.net,0.6029,4,Moderately High,0.6029,,,pc1
dailypresser.com,0.2608,2,Low,0.2608,,,pc1
dailyprogress.com,0.8534,5,High,0.8534,,,pc1
dailyreckoning.com,0.4856,3,Mixed,0.5284,0.4000,,pc1+llm
dailyrecord.co.uk,0.5945,3,Mixed,0.5418,0.7000,,pc1+llm
dailyrecord.com,0.8793,5,High,0.8793,,,pc1
dailyrecordnews.com,0.6428,4,Moderately High,0.6428,,,pc1
dailyregister.com,0.6323,4,Moderately High,0.6323,,,pc1
dailyreports71.com,0.6864,4,Moderately High,0.6864,,,pc1
dailyrepublic.com,0.6820,4,Moderately High,0.6820,,,pc1
dailyrepublicannews.com,0.6308,4,Moderately High,0.6308,,,pc1
dailysceptic.org,0.3608,2,Low,0.5466,0.3000,1,pc1+llm+iffy
dailysidnews.com,0.2843,2,Low,0.2843,,,pc1
dailysignal.com,0.4486,3,Mixed,0.4730,0.4000,,pc1+llm
dailysnark.com,0.3652,2,Low,0.3978,0.3000,,pc1+llm
dailysoundandfury.com,0.4768,3,Mixed,0.5652,0.3000,,pc1+llm
dailysounder.com,0.5526,3,Mixed,0.5526,,,pc1
dailysquib.co.uk,0.3296,2,Low,0.4443,0.1000,,pc1+llm
dailystar.co.uk,0.4312,3,Mixed,0.4468,0.4000,,pc1+llm
dailystarpost.com,0.4920,3,Mixed,0.4920,,,pc1
dailystormer.com,0.2225,2,Low,0.3338,0.0000,,pc1+llm
dailystormer.in,0.0500,1,Very Low,,,1,iffy
dailystormer.name,0.1497,1,Very Low,0.2246,0.0000,,pc1+llm
dailystormer.su,0.2611,2,Low,0.4973,0.0000,1,pc1+llm+iffy
dailysurge.com,0.2011,2,Low,0.2273,0.2000,2,pc1+llm+iffy
dailytarheel.com,0.7942,4,Moderately High,0.8413,0.7000,,pc1+llm
dailytelegraph.com.au,0.6654,4,Moderately High,0.6481,0.7000,,pc1+llm
dailytexanonline.com,0.7170,4,Moderately High,0.7170,,,pc1
dailythings.world,0.3603,2,Low,0.3603,,,pc1
dailytorch.com,0.4088,3,Mixed,0.4632,0.3000,,pc1+llm
dailytribune.com,0.6601,4,Moderately High,0.6601,,,pc1
dailyunion.com,0.7072,4,Moderately High,0.7072,,,pc1
dailyusaupdate.com,0.2463,2,Low,0.2463,,,pc1
dailyvoice.com,0.6565,4,Moderately High,0.6565,,,pc1
dailywire.com,0.3717,2,Low,0.3575,0.4000,,pc1+llm
dailyworld.com,0.6964,4,Moderately High,0.6964,,,pc1
dailyworldupdate.us,0.2603,2,Low,0.3404,0.1000,,pc1+llm
dailyyonder.com,0.6940,4,Moderately High,0.6910,0.7000,,pc1+llm
dainikplus.info,0.6284,4,Moderately High,0.6284,,,pc1
dairylandexpress.com,0.6251,4,Moderately High,0.6251,,,pc1
dakaractu.com,0.5705,3,Mixed,0.5705,,,pc1
dakotanews.pw,0.2929,2,Low,0.2929,,,pc1
dakotanewsnow.com,0.6639,4,Moderately High,0.6459,0.7000,,pc1+llm
dakotatimes.com,0.4837,3,Mixed,0.5506,,4,pc1+iffy
dallascitywire.com,0.4414,3,Mixed,0.4414,,,pc1
dallasexaminer.com,0.7977,4,Moderately High,0.7977,,,pc1
dallasnews.com,0.8458,5,High,0.8686,0.8000,,pc1+llm
dallasobserver.com,0.6413,4,Moderately High,0.6119,0.7000,,pc1+llm
dallasvoice.com,0.7133,4,Moderately High,0.7200,0.7000,,pc1+llm
dallasweekly.com,0.5891,3,Mixed,0.5891,,,pc1
daltondailycitizen.com,0.7660,4,Moderately High,0.7990,0.7000,,pc1+llm
damnleaks.com,0.2463,2,Low,0.2463,,,pc1
dan-news.info,0.2312,2,Low,0.2467,0.2000,,pc1+llm
dana-farber.org,0.7504,4,Moderately High,0.6756,0.9000,,pc1+llm
danaloeschradio.com,0.6719,4,Moderately High,0.6719,,,pc1
dandygoat.com,0.4115,3,Mixed,0.4115,,,pc1
dangerous.com,0.5885,3,Mixed,0.5885,,,pc1
dangerousmedicine.com,0.3863,2,Low,0.3863,,,pc1
dansvilleonline.com,0.6430,4,Moderately High,0.6430,,,pc1
darientimes.com,0.8712,5,High,0.8712,,,pc1
darkjournalist.com,0.1177,1,Very Low,0.0604,0.2000,2,pc1+llm+iffy
darkmoon.me,0.2859,2,Low,0.2859,,,pc1
darkoutpost.com,0.4764,3,Mixed,0.6647,0.1000,,pc1+llm
darkpolitricks.com,0.6317,4,Moderately High,0.6317,,,pc1
darntons.com,0.3500,2,Low,,,4,iffy
dartmouthtimes.com,0.5800,3,Mixed,0.6950,,4,pc1+iffy
daserste.de,0.6993,4,Moderately High,0.5989,0.9000,,pc1+llm
data.huffingtonpost.com,0.5087,3,Mixed,0.5087,,,pc1
data.thetimesherald.com,0.5155,3,Mixed,0.5155,,,pc1
dataasylum.com,0.1626,1,Very Low,0.1689,,2,pc1+iffy
databaseitalia.it,0.2188,2,Low,0.2188,,,pc1
dauphinnews.com,0.6150,4,Moderately High,0.6150,,,pc1
davejanda.com,0.3250,2,Low,0.3250,,,pc1
daventryexpress.co.uk,0.6881,4,Moderately High,0.6881,,,pc1
davidduke.com,0.1961,1,Very Low,0.2941,0.0000,,pc1+llm
davidgorski.news,0.2986,2,Low,0.2986,,,pc1
davidharrisjr.com,0.2071,2,Low,0.1892,0.3000,2,pc1+llm+iffy
davidicke.com,0.0833,1,Very Low,0.0416,0.2000,1,pc1+llm+iffy
davidstockmanscontracorner.com,0.5361,3,Mixed,0.6041,0.4000,,pc1+llm
davidwolfe.com,0.2365,2,Low,0.1979,0.2000,4,pc1+llm+iffy
davistimes.com,0.3835,2,Low,0.3835,,,pc1
dawgpounddaily.com,0.6849,4,Moderately High,0.6849,,,pc1
dawindycity.com,0.5143,3,Mixed,0.5715,0.4000,,pc1+llm
dawn.com,0.8224,5,High,0.8336,0.8000,,pc1+llm
dawnofthedawg.com,0.6907,4,Moderately High,0.6907,,,pc1
dawsoncreekmirror.ca,0.5753,3,Mixed,0.5753,,,pc1
dawsonspringsprogress.com,0.6868,4,Moderately High,0.6868,,,pc1
dayreports.xyz,0.2537,2,Low,0.2537,,,pc1
dayton.com,0.5162,3,Mixed,0.5162,,,pc1
dayton247now.com,0.7620,4,Moderately High,0.7620,,,pc1
daytondailynews.com,0.8032,5,High,0.8548,0.7000,,pc1+llm
daytonreporter.com,0.4376,3,Mixed,0.4814,,4,pc1+iffy
dazeddigital.com,0.6070,4,Moderately High,0.5604,0.7000,,pc1+llm
dbrnews.com,0.5118,3,Mixed,0.5118,,,pc1
dc-chronicle.com,0.4894,3,Mixed,0.6341,0.2000,,pc1+llm
dcalert.com,0.3807,2,Low,0.3807,,,pc1
dcbluedot.com,0.3457,2,Low,0.3457,,,pc1
dcbusinessdaily.com,0.3929,2,Low,0.3929,,,pc1
dccircuitbreaker.org,0.9261,5,High,0.9261,,,pc1
dcclothesline.com,0.1646,1,Very Low,0.1542,0.2000,2,pc1+llm+iffy
dcdailywire.com,0.3840,2,Low,0.3840,,,pc1
dcdirtylaundry.com,0.0833,1,Very Low,0.0917,0.1000,1,pc1+llm+iffy
dcenquirer.com,0.5526,3,Mixed,0.5526,,,pc1
dcgazette.com,0.2011,2,Low,0.2273,0.2000,2,pc1+llm+iffy
dcist.com,0.7955,4,Moderately High,0.8433,0.7000,,pc1+llm
dcleaks.com,0.2628,2,Low,0.2942,0.2000,,pc1+llm
dcmilitary.com,0.5781,3,Mixed,0.5172,0.7000,,pc1+llm
dcourier.com,0.6111,4,Moderately High,0.6111,,,pc1
dcreport.org,0.7503,4,Moderately High,0.7754,0.7000,,pc1+llm
dcstatesman.com,0.6344,4,Moderately High,0.6344,,,pc1
dctribune.org,0.3232,2,Low,0.3847,0.2000,,pc1+llm
dcweekly.org,0.1500,1,Very Low,,,2,iffy
dcwhispers.com,0.4853,3,Mixed,0.6279,0.2000,,pc1+llm
ddemocraticunderground.com,0.2370,2,Low,0.2370,,,pc1
de.finance.yahoo.com,0.5946,3,Mixed,0.5946,,,pc1
de.news-front.info,0.2497,2,Low,0.2497,,,pc1
de.rt.com,0.2376,2,Low,0.3314,,1,pc1+iffy
de.search.yahoo.com,0.7239,4,Moderately High,0.7239,,,pc1
deadline.com,0.8404,5,High,0.8356,0.8500,,pc1+llm
deadlinedetroit.com,0.6029,4,Moderately High,0.6029,,,pc1
deadlinelive.info,0.6934,4,Moderately High,0.6934,,,pc1
deadlyclear.wordpress.com,0.2268,2,Low,0.2268,,,pc1
deadspin.com,0.5743,3,Mixed,0.5614,0.6000,,pc1+llm
deadstate.org,0.5131,3,Mixed,0.5696,0.4000,,pc1+llm
dearly.com,0.7211,4,Moderately High,0.7211,,,pc1
dearoldgold.com,0.5527,3,Mixed,0.5527,,,pc1
dearpandemic.org,0.6302,4,Moderately High,0.5452,0.8000,,pc1+llm
deathvalleyvoice.com,0.7112,4,Moderately High,0.7112,,,pc1
debka.com,0.3315,2,Low,0.2879,0.4000,4,pc1+llm+iffy
debtcollapse.com,0.5874,3,Mixed,0.5874,,,pc1
debunkingdenialism.com,0.7996,4,Moderately High,0.7996,,,pc1
debunkingskeptics.com,0.2648,2,Low,0.3222,,2,pc1+iffy
debusinessdaily.com,0.6119,4,Moderately High,0.6119,,,pc1
decaturdaily.com,0.6636,4,Moderately High,0.6454,0.7000,,pc1+llm
decaturtimes.com,0.3691,2,Low,0.3786,,4,pc1+iffy
deccanchronicle.com,0.7024,4,Moderately High,0.7536,0.6000,,pc1+llm
deccanherald.com,0.7138,4,Moderately High,0.7208,0.7000,,pc1+llm
deception.news,0.2894,2,Low,0.2894,,,pc1
decision-sante.com,0.7041,4,Moderately High,0.7041,,,pc1
decisiondeskhq.com,0.6172,4,Moderately High,0.6172,,,pc1
deconstructingconventional.com,0.4170,3,Mixed,0.4170,,,pc1
deepleftfield.info,0.2914,2,Low,0.2621,,4,pc1+iffy
deepsouthvoice.com,0.4935,3,Mixed,0.4935,,,pc1
deepstate.news,0.2986,2,Low,0.2986,,,pc1
deepstatejournal.com,0.2857,2,Low,0.3535,,2,pc1+iffy
deepstatenation.com,0.6808,4,Moderately High,0.6808,,,pc1
deeside.com,0.6140,4,Moderately High,0.6140,,,pc1
deesidepiper.co.uk,0.5983,3,Mixed,0.5475,0.7000,,pc1+llm
defconnews.com,0.4197,3,Mixed,0.5545,,2,pc1+iffy
defconwarningsystem.com,0.9058,5,High,0.9058,,,pc1
defenddemocracy.org,0.6469,4,Moderately High,0.6469,,,pc1
defenddemocracy.press,0.6056,4,Moderately High,0.6056,,,pc1
defendernetwork.com,0.7237,4,Moderately High,0.7237,,,pc1
defendevropa.com,0.3734,2,Low,0.3734,,,pc1
defendevropa.org,0.2552,2,Low,0.2552,,,pc1
defendingtherepublic.org,0.2128,2,Low,0.3007,0.2000,1,pc1+llm+iffy
defensedaily.com,0.5975,3,Mixed,0.5462,0.7000,,pc1+llm
defensenews.com,0.8889,5,High,0.9334,0.8000,,pc1+llm
defenseone.com,0.8716,5,High,0.9074,0.8000,,pc1+llm
defenseusa.club,0.4390,3,Mixed,0.4390,,,pc1
defiantamerica.com,0.1965,1,Very Low,0.2180,0.2000,2,pc1+llm+iffy
defund.com,0.5710,3,Mixed,0.5710,,,pc1
dekalbganews.com,0.3082,2,Low,0.2874,,4,pc1+iffy
dekalbtimes.com,0.4203,3,Mixed,0.4555,,4,pc1+iffy
delawareonline.com,0.7908,4,Moderately High,0.7861,0.8000,,pc1+llm
delawarevalleysun.com,0.3500,2,Low,,,4,iffy
delconewsnetwork.com,0.5592,3,Mixed,0.5592,,,pc1
delcoreview.com,0.3927,2,Low,0.4140,,4,pc1+iffy
delcotimes.com,0.6491,4,Moderately High,0.6486,0.6500,,pc1+llm
delgazette.com,0.6839,4,Moderately High,0.6839,,,pc1
delmarvanow.com,0.6639,4,Moderately High,0.6459,0.7000,,pc1+llm
delo.si,0.7709,4,Moderately High,0.8063,0.7000,,pc1+llm
delrionewsherald.com,0.9058,5,High,0.9058,,,pc1
delta-leveritanascoste.blogspot.it,0.3603,2,Low,0.3603,,,pc1
delta-optimist.com,0.6234,4,Moderately High,0.6234,,,pc1
deltacountyindependent.com,0.7059,4,Moderately High,0.7059,,,pc1
deltafm.fr,0.5719,3,Mixed,0.5719,,,pc1
dementia.news,0.2894,2,Low,0.2894,,,pc1
demingheadlight.com,0.6417,4,Moderately High,0.6417,,,pc1
democide.news,0.2467,2,Low,0.2467,,,pc1
democracy21.org,0.8417,5,High,0.8417,,,pc1
democracyawakensinaction.com,0.3779,2,Low,0.3779,,,pc1
democracychronicles.org,0.6469,4,Moderately High,0.6469,,,pc1
democracyguardian.com,0.5661,3,Mixed,0.5661,,,pc1
democracyjournal.org,0.6646,4,Moderately High,0.6469,0.7000,,pc1+llm
democracynow.org,0.6447,4,Moderately High,0.5671,0.8000,,pc1+llm
democratandchronicle.com,0.8273,5,High,0.8410,0.8000,,pc1+llm
democratherald.com,0.8479,5,High,0.9218,0.7000,,pc1+llm
democratica.com,0.5785,3,Mixed,0.5785,,,pc1
democratichub.com,0.5914,3,Mixed,0.5914,,,pc1
democraticmoms.com,0.2736,2,Low,0.2736,,,pc1
democraticreview.com,0.6518,4,Moderately High,0.6518,,,pc1
democraticunderground.com,0.4157,3,Mixed,0.4236,0.4000,,pc1+llm
democratizeus.com,0.6917,4,Moderately High,0.6917,,,pc1
democrats.org,0.4523,3,Mixed,0.3796,0.7000,4,pc1+llm+iffy
demopolistimes.com,0.5796,3,Mixed,0.5796,,,pc1
demos.org,0.6523,4,Moderately High,0.6284,0.7000,,pc1+llm
demotivateur.fr,0.5024,3,Mixed,0.5024,,,pc1
deneenborelli.com,0.4929,3,Mixed,0.4929,,,pc1
dennismichaellynch.com,0.5406,3,Mixed,0.6609,0.3000,,pc1+llm
dentistry.news,0.3907,2,Low,0.3907,,,pc1
dentonrc.com,0.8137,5,High,0.8706,0.7000,,pc1+llm
denver.cbslocal.com,0.7723,4,Moderately High,0.7723,,,pc1
denvercitywire.com,0.3238,2,Low,0.3108,,4,pc1+iffy
denvergazette.com,0.7780,4,Moderately High,0.8169,0.7000,,pc1+llm
denverguardian.com,0.1361,1,Very Low,0.1361,,,pc1
denverinquirer.com,0.2438,2,Low,0.2438,,,pc1
denverpost.com,0.8472,5,High,0.8709,0.8000,,pc1+llm
departed.co,0.2438,2,Low,0.2438,,,pc1
departedme.com,0.3603,2,Low,0.3603,,,pc1
departedmedia.com,0.2435,2,Low,0.2435,,,pc1
deplorablekel.com,0.2107,2,Low,0.2410,,2,pc1+iffy
deplorablessupport.com,0.5824,3,Mixed,0.5824,,,pc1
depopulation.news,0.3444,2,Low,0.4666,0.1000,,pc1+llm
der-postillon.com,0.3920,2,Low,0.5380,0.1000,,pc1+llm
deraktionaer.de,0.6540,4,Moderately High,0.6310,0.7000,,pc1+llm
derbyshiretimes.co.uk,0.5975,3,Mixed,0.5462,0.7000,,pc1+llm
derbytelegraph.co.uk,0.6706,4,Moderately High,0.6558,0.7000,,pc1+llm
derehamtimes.co.uk,0.4382,3,Mixed,0.4382,,,pc1
derfmagazine.com,0.4292,3,Mixed,0.4292,,,pc1
derryjournal.com,0.6568,4,Moderately High,0.6352,0.7000,,pc1+llm
derrynews.com,0.6234,4,Moderately High,0.6234,,,pc1
derstandard.at,0.7313,4,Moderately High,0.6969,0.8000,,pc1+llm
derwaechter.net,0.2430,2,Low,0.2430,,,pc1
derwaechter.org,0.5218,3,Mixed,0.5218,,,pc1
derwesten.de,0.6370,4,Moderately High,0.6054,0.7000,,pc1+llm
desantisdaily.com,0.3456,2,Low,0.3433,,4,pc1+iffy
deseret.com,0.7413,4,Moderately High,0.7619,0.7000,,pc1+llm
deseretnews.com,0.7700,4,Moderately High,0.8050,0.7000,,pc1+llm
desertsun.com,0.7776,4,Moderately High,0.8163,0.7000,,pc1+llm
deshabhimani.com,0.5897,3,Mixed,0.5846,0.6000,,pc1+llm
desmogblog.com,0.6119,4,Moderately High,0.5678,0.7000,,pc1+llm
desmoinesregister.com,0.8527,5,High,0.8790,0.8000,,pc1+llm
desmoinessun.com,0.3492,2,Low,0.3488,,4,pc1+iffy
destinationsante.com,0.6769,4,Moderately High,0.6769,,,pc1
destinypost.com,0.7065,4,Moderately High,0.7065,,,pc1
detik.com,0.7812,4,Moderately High,0.8218,0.7000,,pc1+llm
detox.news,0.3596,2,Low,0.3596,,,pc1
detoxed.info,0.2062,2,Low,0.2062,,,pc1
detroitcitywire.com,0.5227,3,Mixed,0.5227,,,pc1
detroitdaily.xyz,0.2904,2,Low,0.2904,,,pc1
detroitjockcity.com,0.5121,3,Mixed,0.5121,,,pc1
detroitnews.com,0.8535,5,High,0.8803,0.8000,,pc1+llm
deutsch.rt.com,0.3709,2,Low,0.3709,,,pc1
deutsche-apotheker-zeitung.de,0.6336,4,Moderately High,0.5504,0.8000,,pc1+llm
deutsche-wirtschafts-nachrichten.de,0.5715,3,Mixed,0.6573,0.4000,,pc1+llm
deutschland-kurier.org,0.2982,2,Low,0.3473,0.2000,,pc1+llm
deutschland.de,0.8376,5,High,0.8064,0.9000,,pc1+llm
deutschlandfunk.de,0.6856,4,Moderately High,0.5785,0.9000,,pc1+llm
deutschlandfunkkultur.de,0.6856,4,Moderately High,0.5785,0.9000,,pc1+llm
deutschlandkurier.de,0.2690,2,Low,0.2535,0.3000,,pc1+llm
devilsindetail.com,0.5624,3,Mixed,0.5624,,,pc1
devilslakejournal.com,0.6430,4,Moderately High,0.6430,,,pc1
devinformarti.blogspot.it,0.2435,2,Low,0.2435,,,pc1
devondispatch.ca,0.5719,3,Mixed,0.5719,,,pc1
devonlive.com,0.6973,4,Moderately High,0.6959,0.7000,,pc1+llm
dewezet.de,0.5615,3,Mixed,0.5615,,,pc1
dewsburyreporter.co.uk,0.7608,4,Moderately High,0.7608,,,pc1
dfw.cbslocal.com,0.5099,3,Mixed,0.5099,,,pc1
dglobe.com,0.6270,4,Moderately High,0.6270,,,pc1
dgt.nhs.uk,0.6891,4,Moderately High,0.6891,,,pc1
dhbusinessledger.com,0.7203,4,Moderately High,0.7203,,,pc1
dhmakanews.xyz,0.3910,2,Low,0.3910,,,pc1
dhnet.be,0.7169,4,Moderately High,0.7253,0.7000,,pc1+llm
diabetes.org,0.7758,4,Moderately High,0.7137,0.9000,,pc1+llm
diabetescure.news,0.3838,2,Low,0.3838,,,pc1
diabetessciencenews.com,0.2423,2,Low,0.2423,,,pc1
diamondandsilk.com,0.5713,3,Mixed,0.7070,0.3000,,pc1+llm
diamondandsilkinc.com,0.3858,2,Low,0.5037,,2,pc1+iffy
diariodelweb.it,0.6540,4,Moderately High,0.6540,,,pc1
diaryfast.com,0.3709,2,Low,0.3709,,,pc1
dicamba.news,0.2770,2,Low,0.2770,,,pc1
didyouknowfacts.com,0.5972,3,Mixed,0.6957,0.4000,,pc1+llm
dieharddemocrat.com,0.6597,4,Moderately High,0.6597,,,pc1
diepresse.com,0.8116,5,High,0.8174,0.8000,,pc1+llm
dieunbestechlichen.com,0.3021,2,Low,0.3532,0.2000,,pc1+llm
differencebetween.net,0.8067,5,High,0.9101,0.6000,,pc1+llm
digg.com,0.7955,4,Moderately High,0.8432,0.7000,,pc1+llm
digiday.com,0.6545,4,Moderately High,0.6318,0.7000,,pc1+llm
digifection.com,0.1834,1,Very Low,0.2001,,2,pc1+iffy
digitaljournal.com,0.8204,5,High,0.9056,0.6500,,pc1+llm
digitaltrends.com,0.7054,4,Moderately High,0.6831,0.7500,,pc1+llm
digitimes.com,0.6326,4,Moderately High,0.5989,0.7000,,pc1+llm
digynews.com,0.2401,2,Low,0.2401,,,pc1
dilei.it,0.6382,4,Moderately High,0.6382,,,pc1
dinamopress.it,0.6301,4,Moderately High,0.6301,,,pc1
dineal.com,0.2463,2,Low,0.2463,,,pc1
dionidream.com,0.2463,2,Low,0.2463,,,pc1
diply.com,0.6321,4,Moderately High,0.7481,0.4000,,pc1+llm
dire.it,0.5708,3,Mixed,0.5708,,,pc1
direttainfo.blogspot.it,0.2124,2,Low,0.2124,,,pc1
direttanews.it,0.2438,2,Low,0.2438,,,pc1
direttanews24.com,0.1971,1,Very Low,0.1971,,,pc1
direttanfo.blogspot.it,0.2539,2,Low,0.2539,,,pc1
disabilityscoop.com,0.8067,5,High,0.8100,0.8000,,pc1+llm
disabledveterans.org,0.5710,3,Mixed,0.5710,,,pc1
disaster.news,0.2467,2,Low,0.2467,,,pc1
disclose.tv,0.2168,2,Low,0.1085,0.3000,4,pc1+llm+iffy
disclosuremedia.net,0.2238,2,Low,0.2238,,,pc1
discoveries.news,0.1798,1,Very Low,0.2447,,1,pc1+iffy
